"","species","nobs","taxonKeys","Kingdom","Phylum","Class","Order","Family","Genus","fileName","AUCtest","np","na","cor","TPR","TNR","importantVars","importantValue","percentContribution","Features","Regularization","AUCtrain","AUC","AUCnull","AUCDiffpval"
"360","Branta bernicla",323634,5232446,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta_bernicla.csv",0.875301129943503,885,2000,0.626190569026806,0.698724025663124,0.676249470338983,"bio1;bio12;bio13;bio14;bio5;bio6","32.2793;4.3169;6.5151;21.5379;8.6112;26.7396","33.1444;22.2224;3.064;14.1862;4.5899;22.7931","LQHP",0.5,0.87735392228739,NA,NA,NA
"361","Branta hutchinsii",370633,5232452,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta_hutchinsii.csv",0.809939672018334,4180,4422,0.531379180811557,0.654419032747901,0.655023399605132,"bio1;bio12;bio13;bio14;bio5;bio6","58.9766;20.9346;0.7217;7.0805;1.6555;10.6311","66.956;10.6127;0.6346;5.887;6.4733;9.4365","LQHP",0.5,0.817241097958357,NA,NA,NA
"362","Brechmorhoga mendax",1121,1429354,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Brechmorhoga","Brechmorhoga_mendax.csv",0.759392307692308,65,2000,0.181089911611432,0.742624603860559,0.516460674157303,"bio1;bio12;bio13;bio14;bio5;bio6","53.1169;1.3994;6.1101;15.9066;9.025;14.442","60.8623;3.8486;2.681;15.3292;4.602;12.6769","LQHP",1,0.787746254681648,NA,NA,NA
"363","Brephidium exilis",4049,1932172,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Brephidium","Brephidium_exilis.csv",0.767699612403101,258,2000,0.344841647846654,0.712084047974722,0.555303330689929,"bio1;bio12;bio13;bio14;bio5;bio6","30.6879;0.6826;3.1385;43.6079;3.65;18.233","29.654;1.2203;0.1208;38.2725;1.7543;28.978","LQ",0.5,0.777010932944606,NA,NA,NA
"364","Brevoortia tyrannus",1246,5214544,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia_tyrannus.csv",0.872264705882353,17,2000,0.193401815349271,0.86482122260669,0.505613725490196,"bio1;bio12;bio13;bio4;bio5;bio6","35.4721;9.9876;41.6335;4.4028;5.3902;3.114","34.12;30.6686;29.0107;1.8917;2.4769;1.8321","LQH",1,0.926638888888889,NA,NA,NA
"365","Brotogeris chiriri",16932,2479583,"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Brotogeris","Brotogeris_chiriri.csv",0.954627272727273,55,2000,0.659914381175061,0.931421598535693,0.465959252157239,"bio1;bio12;bio13;bio14;bio5;bio6","18.7137;5.9854;1.216;21.0517;21.7981;31.2351","15.5816;5.687;0.5151;41.7964;11.7234;24.6966","LQHP",2,0.987262041284404,NA,NA,NA
"366","Brotogeris versicolurus",6689,2479582,"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Brotogeris","Brotogeris_versicolurus.csv",0.907893983628141,18,1941,0.390630412149625,0.899390575688323,0.505187557934584,"bio1;bio12;bio13;bio14;bio5;bio6","22.0839;14.4488;0.7546;31.2198;28.3163;3.1767","31.995;17.6365;0.5898;18.6082;28.3205;2.85","LQHP",2,0.965039457914794,NA,NA,NA
"367","Bubo scandiacus",159664,5959143,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo_scandiacus.csv",0.873314891540346,3050,3292,0.643208998029267,0.686107293609502,0.686667369998763,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","41.748;20.3517;1.2555;16.6928;13.9249;2.9025;3.1246","55.468;8.5771;17.934;13.4519;3.3258;0.2697;0.9734","LQHP",0.5,0.869496300675985,NA,NA,NA
"368","Bubo virginianus",735414,5959118,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo_virginianus.csv",0.773557910667614,14296,14886,0.468582878795726,0.636284474978415,0.636813971144102,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","68.283;14.7083;0.7404;2.1625;5.4212;2.6068;6.0777","86.8874;6.726;0.1293;0.8413;1.1624;2.2793;1.9743","LQHP",0.5,0.781915239320237,NA,NA,NA
"369","Bubulcus ibis",942895,2480830,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus_ibis.csv",0.893081153215593,5752,6265,0.674734526550504,0.695928986949606,0.696538766043332,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","84.3257;0.747;5.2395;5.2323;1.2051;0.3873;2.8631","88.4136;1.7726;2.4216;1.1304;0.8725;4.4061;0.9832","H",0.5,0.890202509575333,NA,NA,NA
"370","Bucephala albeola",2446609,2498329,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Bucephala","Bucephala_albeola.csv",0.779765957182332,11289,12307,0.471043634538002,0.639351689039319,0.639943238573637,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","56.2214;24.8875;1.6474;3.2135;5.4643;0.8149;7.7511","77.0483;14.8658;0.383;0.7454;1.7164;1.1281;4.113","LQHP",0.5,0.783354481441885,NA,NA,NA
"371","Bucephala clangula",1450990,2498326,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Bucephala","Bucephala_clangula.csv",0.783167831740604,8748,9580,0.480192765535837,0.641055451967578,0.64165057150834,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","61.2967;11.8306;7.9016;2.9443;5.0181;2.4504;8.5582","79.0856;11.3801;1.6222;1.3518;1.1173;0.7838;4.6591","LQHP",0.5,0.780948708215099,NA,NA,NA
"372","Bucephala islandica",188869,2498325,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Bucephala","Bucephala_islandica.csv",0.775669096849524,1959,2307,0.474913080739564,0.637399269862521,0.637893480485929,"bio1;bio12;bio13;bio14;bio5;bio6","26.2826;6.1323;2.8272;48.0523;5.8309;10.8747","16.4208;6.0834;2.712;60.4891;7.5815;6.7132","LQHP",0.5,0.776705481139628,NA,NA,NA
"373","Bulimulus guadalupensis",340,5715627,"Animalia","Mollusca","Gastropoda","Stylommatophora","Bulimulidae","Bulimulus","Bulimulus_guadalupensis.csv",0.989854727316028,19,1105,0.614971679987192,0.979297558965908,0.503036367339349,"bio1;bio12;bio13;bio4;bio5;bio6","76.9729;0;12.8473;5.8722;4.0895;0.2181","1.608;12.2788;0.8813;72.8165;12.1305;0.2849","Q",0.5,0.956983885604205,NA,NA,NA
"374","Bulla gouldiana",227,5189989,"Animalia","Mollusca","Gastropoda","Cephalaspidea","Bullidae","Bulla","Bulla_gouldiana.csv",0.988387096774194,5,930,0.426719701771436,0.982232893157263,0.394748867288851,"bio1;bio12;bio13;bio14;bio3;bio5;bio6","3.7025;75.706;0;18.85;0;1.2629;0.4785","0.3673;75.1844;0.0116;1.4993;21.0021;1.6367;0.2986","LQ",0.5,0.988443966675625,NA,NA,NA
"375","Buteo albonotatus",61913,2480541,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_albonotatus.csv",0.84235516605166,542,2000,0.500314603388357,0.721491778024576,0.620535922330097,"bio1;bio12;bio13;bio14;bio5;bio6","9.4079;2.4723;2.8546;46.3146;12.0194;26.9312","10.0489;0.6922;4.0786;53.8991;8.7605;22.5207","LQHP",0.5,0.840121856424326,NA,NA,NA
"376","Buteo brachyurus",73335,2480553,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_brachyurus.csv",0.923195945945946,296,2000,0.634579546427087,0.825645506938809,0.596484603541185,"bio1;bio12;bio13;bio14;bio5;bio6","0;0;0.0333;99.5023;0.0361;0.4282","0;1e-04;0.2688;44.4593;54.7163;0.5555","L",2,0.933459963325183,NA,NA,NA
"377","Buteo lagopus",308367,2480524,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_lagopus.csv",0.817773617845194,9272,9518,0.552502199657314,0.658347831946116,0.658926054174484,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","70.2768;11.6598;4.9322;5.7963;2.745;1.4563;3.1335","84.8624;2.467;1.8287;3.6917;1.064;1.4958;4.5904","LQHP",0.5,0.825459737826588,NA,NA,NA
"378","Buteo lineatus",2235389,2480529,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_lineatus.csv",0.843052908399439,14419,14940,0.605059566849423,0.670947860849492,0.671513298703797,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","27.4553;7.331;6.4021;19.5886;15.971;2.0615;21.1906","22.7546;4.0859;0.671;5.6132;43.5411;5.3698;17.9643","LQHP",0.5,0.844359932692556,NA,NA,NA
"379","Buteo platypterus",559289,2480538,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_platypterus.csv",0.857937723262558,10294,10647,0.62379845756157,0.678378283262502,0.678958931952944,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","42.7165;7.5453;3.4576;9.2114;14.0346;4.2879;18.7468","20.5116;8.3382;0.7308;3.9811;61.1816;1.4305;3.8263","LQHP",0.5,0.858221580599848,NA,NA,NA
"380","Buteo regalis",112462,2480566,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_regalis.csv",0.762900605982709,3756,3828,0.466299949838809,0.631026817504501,0.631493804449617,"bio1;bio12;bio13;bio14;bio5;bio6","9.8947;3.0362;14.7263;12.0763;23.5152;36.7513","6.5662;8.3166;16.6842;4.9043;9.904;53.6246","LQHP",0.5,0.76509862598144,NA,NA,NA
"381","Buteo swainsoni",393016,2480562,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_swainsoni.csv",0.777237357826389,8525,8724,0.501830476324923,0.638131888715238,0.638682000968261,"bio1;bio12;bio13;bio14;bio5;bio6","25.3525;2.3323;23.2991;7.1259;9.1857;32.7045","29.5919;10.7106;16.7436;3.9067;6.7706;32.2766","LQHP",0.5,0.779984609139989,NA,NA,NA
"382","Buteogallus anthracinus",81954,2480651,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteogallus","Buteogallus_anthracinus.csv",0.836184615384615,195,2000,0.364960725973523,0.780368991053465,0.555254590984975,"bio1;bio12;bio13;bio14;bio5;bio6","15.5296;0.3172;0.9844;18.8854;8.3874;55.896","7.1551;1.1081;26.9319;17.9492;4.2464;42.6092","LQHP",1,0.857726986754967,NA,NA,NA
"383","Butorides virescens",1629471,9539567,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","Butorides_virescens.csv",0.834334892074648,10566,11289,0.580519038423667,0.666583074623042,0.667190554668853,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","37.0603;8.2781;0.396;7.866;26.9614;8.4008;11.0374","31.3673;7.6955;1.0677;0.9669;45.4403;3.6879;9.7743","LQHP",0.5,0.836255492029355,NA,NA,NA
"384","Caenurgina erechtea",2003,1789193,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Caenurgina","Caenurgina_erechtea.csv",0.723356164383562,219,2000,0.257495362753344,0.682629718479325,0.540580605564648,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","30.7167;20.5971;2.1528;4.5019;21.5716;4.8997;15.5602","39.9833;14.3842;1.4384;4.5117;20.5447;3.1606;15.9771","LQHP",1,0.740452428571429,NA,NA,NA
"385","Cairina moschata",113528,9751099,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Cairina","Cairina_moschata.csv",0.889476627712855,599,2000,0.667922897222862,0.743065325271624,0.645972534332085,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","36.8786;17.7511;0.2854;7.3956;18.054;11.1312;8.504","70.6792;6.3778;0.149;13.6681;1.1359;4.0844;3.9056","H",0.5,0.897530066872428,NA,NA,NA
"386","Calamospiza melanocorys",78842,2491893,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Calamospiza","Calamospiza_melanocorys.csv",0.854840709154369,2763,2902,0.631385235122348,0.676898465103813,0.67746725707785,"bio1;bio12;bio13;bio14;bio5;bio6","12.6831;2.9353;30.4922;15.6848;28.5235;9.6811","7.4871;38.5582;11.9737;2.8889;16.2519;22.8401","LQHP",0.5,0.855866426079449,NA,NA,NA
"387","Calcarius lapponicus",103808,2491678,"Animalia","Chordata","Aves","Passeriformes","Calcariidae","Calcarius","Calcarius_lapponicus.csv",0.819827099580522,3811,4013,0.55487627423148,0.659394278878611,0.659950843391712,"bio1;bio12;bio13;bio14;bio5;bio6","55.7063;18.7266;1.4613;14.5001;2.4795;7.1262","57.0599;8.9049;3.1131;23.8143;3.4255;3.6824","H",0.5,0.820926024428623,NA,NA,NA
"388","Calidris alba",663105,2481748,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_alba.csv",0.82659585458974,1578,2429,0.55293424869885,0.662770782895552,0.663391619396037,"bio1;bio12;bio13;bio14;bio5;bio6","44.3253;41.2109;2.6695;3.7169;2.7947;5.2827","40.5139;38.5557;3.7722;11.4498;1.5821;4.1263","LQHP",1,0.825630548852849,NA,NA,NA
"389","Calidris alpina",570223,2481759,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_alpina.csv",0.837817714582323,2733,3440,0.578842597166589,0.668352099313996,0.668962220907023,"bio1;bio12;bio13;bio14;bio5;bio6","47.8142;32.9581;4.7588;7.1774;1.8183;5.4732","44.4839;37.4722;5.2557;3.9487;0.6344;8.2051","H",0.5,0.837901243640508,NA,NA,NA
"390","Calidris bairdii",137572,2481770,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_bairdii.csv",0.773566895733135,2299,2489,0.467767628862502,0.636373186641072,0.636845232796761,"bio1;bio12;bio13;bio14;bio5;bio6","51.7583;11.6789;8.8771;5.5511;4.7545;17.3802","66.3202;8.9883;4.041;4.9133;4.5535;11.1837","LQHP",0.5,0.770533374679189,NA,NA,NA
"391","Calidris canutus",111200,2481765,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_canutus.csv",0.809979545454545,440,2000,0.493738732517058,0.714729414729415,0.594951143451143,"bio1;bio12;bio13;bio14;bio5;bio6","30.4896;36.9726;11.7943;11.91;6.6883;2.1452","22.78;47.7475;2.928;17.9266;5.619;2.9988","LQHP",2,0.842508150646431,NA,NA,NA
"392","Calidris fuscicollis",126418,2481756,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_fuscicollis.csv",0.794597168597169,1554,2000,0.501192888010799,0.646866819771011,0.647396956087824,"bio1;bio12;bio13;bio14;bio5;bio6","56.1303;6.7975;20.7486;11.4844;2.4179;2.4213","51.6829;14.867;9.1841;4.9;16.2231;3.1429","H",0.5,0.801783679543246,NA,NA,NA
"393","Calidris himantopus",166902,5229400,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_himantopus.csv",0.792118924020765,1930,2119,0.501662130692792,0.645620675746952,0.64613646703761,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","47.7937;19.5878;1.4308;18.0421;6.1792;4.9911;1.9752","54.5662;8.9587;6.3802;12.0818;3.4178;10.9611;3.6341","H",0.5,0.803916252084765,NA,NA,NA
"394","Calidris maritima",56148,2481743,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_maritima.csv",0.833298136645963,161,2000,0.343545145250979,0.786135834880792,0.546687285223368,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","29.6392;34.6315;0.0334;8.7159;5.3636;0.1677;21.4487","22.1198;37.303;4.0201;1.2069;3.5003;4.0258;27.8241","LQ",0.5,0.827228009259259,NA,NA,NA
"395","Calidris mauri",419539,2481742,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_mauri.csv",0.805784098282591,1854,2399,0.517481449043745,0.652389395965351,0.652966888232705,"bio1;bio12;bio13;bio14;bio5;bio6","39.4604;21.8223;0.8061;20.2425;2.4467;15.222","47.9027;7.3723;1.8654;35.8052;2.687;4.3675","LQHP",1,0.819679699277125,NA,NA,NA
"396","Calidris melanotos",349410,2481744,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_melanotos.csv",0.819199612176326,4075,4404,0.543683397386621,0.659083305781076,0.659652538700981,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","55.2566;28.0387;0.1266;12.4601;1.8154;1.2136;1.0889","58.2676;20.5243;0.1207;6.4065;5.3094;6.519;2.8526","LQH",0.5,0.817884661360579,NA,NA,NA
"397","Calidris minutilla",1255438,2481745,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_minutilla.csv",0.815285179890259,6828,7816,0.53401028376559,0.657068478742573,0.657672117382431,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","72.5855;17.3764;1.6356;2.9351;0.6524;0.8912;3.9238","79.9911;10.2884;1.6217;0.6503;2.5605;0.5459;4.342","H",0.5,0.819996033369211,NA,NA,NA
"398","Calidris ptilocnemis",7603,5229395,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_ptilocnemis.csv",0.86998717948718,39,2000,0.221068506249204,0.854938727299572,0.514343090211132,"bio1;bio12;bio13;bio14;bio5;bio6","24.65;35.7502;20.9644;0.4159;15.0269;3.1925","22.0632;22.8201;4.3263;39.0391;9.7257;2.0256","LQH",3,0.902315,NA,NA,NA
"399","Calidris pusilla",522129,2481764,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris_pusilla.csv",0.78383929189798,3592,4277,0.476005311109365,0.641414970726698,0.641998910759262,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","52.8315;29.8974;0.6253;12.6817;3.8117;0;0.1524","68.4622;21.3185;3.144;5.8094;0.4325;0;0.8335","LQ",0.5,0.790069126828065,NA,NA,NA
"400","Californiconus californicus",466,6510970,"Animalia","Mollusca","Gastropoda","Neogastropoda","Conidae","Californiconus","Californiconus_californicus.csv",0.978062640412317,7,1081,0.317609333180626,0.969318181818182,0.429078714994534,"bio1;bio12;bio13;bio14;bio3;bio5;bio6","2.975;0.8656;1.56;93.232;0.0166;1.3008;0.0499","0.25;57.063;0.9439;38.1739;2.216;1.3059;0.0474","LQHP",1,0.981918761338101,NA,NA,NA
"401","Calisoga longitarsis",275,7662310,"Animalia","Arthropoda",NA,"Araneae","Nemesiidae","Calisoga","Calisoga_longitarsis.csv",0.85565625,32,2000,0.219928620933413,0.84332729468599,0.511027536231884,"bio1;bio12;bio13;bio14;bio5","8.5627;32.9719;1.4603;16.1869;40.8183","9.8147;19.4539;3.1172;45.8348;21.7794","H",3,0.898020038167939,NA,NA,NA
"402","Callicista columella",1897,1929129,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callicista","Callicista_columella.csv",0.864598837209302,86,2000,0.319654039090653,0.834603967796357,0.529341597796143,"bio1;bio12;bio13;bio14;bio5;bio6","21.2567;25.0758;1.3644;31.4826;2.3173;18.5031","16.0683;18.8153;2.5858;44.8781;7.8306;9.822","LQH",1.5,0.869915884718499,NA,NA,NA
"403","Callinectes sapidus",18459,2225646,"Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes_sapidus.csv",0.90356884057971,138,2000,0.453229327703174,0.853522844187021,0.548826029798422,"bio1;bio12;bio13;bio4;bio5;bio6","16.7988;74.3289;3.3709;1.2607;1.5166;2.7241","15.8629;75.8463;2.2237;3.5729;0.594;1.9002","H",3,0.90696655904059,NA,NA,NA
"404","Callipepla californica",612815,5228080,"Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla_californica.csv",0.848921333250696,3410,3596,0.592103052541707,0.673873221299337,0.674489313919436,"bio1;bio12;bio13;bio14;bio5;bio6","31.0624;0.7848;7.6646;40.2335;6.2617;13.9929","20.8715;5.5896;1.1941;29.0643;3.3492;39.9313","LQ",0.5,0.846776949778225,NA,NA,NA
"405","Callipepla gambelii",301194,5228072,"Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla_gambelii.csv",0.86076048951049,1144,2000,0.600106680080962,0.679881931940315,0.680487275449102,"bio1;bio12;bio13;bio14;bio5;bio6","51.1062;5.8586;14.2047;9.7723;9.2775;9.7806","73.4489;1.7141;4.0499;7.9603;4.0485;8.7784","LQHP",0.5,0.858249410118525,NA,NA,NA
"406","Callipepla squamata",59190,5228075,"Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla_squamata.csv",0.779711197339246,902,2000,0.453406063097986,0.646831479767911,0.632658267716535,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","23.1478;0.8286;12.8992;6.5669;45.8497;8.4064;2.3014","19.8386;0.0603;29.6559;4.079;38.7089;6.3393;1.318","LQH",0.5,0.807192336100169,NA,NA,NA
"407","Calliphora vicina",457,1502577,"Animalia","Arthropoda","Insecta","Diptera","Calliphoridae","Calliphora","Calliphora_vicina.csv",0.634051282051282,39,2000,0.0765535931542524,0.628328165756189,0.50565019193858,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","36.1571;49.6997;0;3.5631;8.0972;0;2.4829","26.8128;44.5789;6.2936;7.016;8.7023;3.2337;3.3626","LQ",0.5,0.717633435582822,NA,NA,NA
"408","Callisaurus draconoides",3899,2451459,"Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Callisaurus","Callisaurus_draconoides.csv",NA,186,2000,0.326054997884401,0.767704857248795,0.549292682926829,"bio12;bio13;bio14;bio3;bio5;bio6","1.4987;2.8012;11.2238;43.8481;29.5828;11.0454","1.3614;3.4828;12.0027;52.1693;11.4966;19.4873","LQHP",0.5,NA,0.818577956989247,0.816328266494179,5.58699620862662e-211
"409","Calocitta colliei",13547,2482459,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Calocitta","Calocitta_colliei.csv",NA,2,598,0.00749857983476962,0.588441330998249,0.490063199573593,"bio1;bio12;bio13;bio14;bio3;bio5;bio6","0;0;0;60.76;1.5973;37.3336;0.3091","0;3.5784;0;65.4614;12.5899;3.2859;15.0843","LQ",0.5,NA,0.590301003344482,0.968475303474257,5.43055904168805e-09
"410","Calopteryx maculata",23067,5052005,"Animalia","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx","Calopteryx_maculata.csv",NA,1339,2000,0.436983378709163,0.631858389270749,0.632348552894212,"bio1;bio12;bio13;bio14;bio5;bio6","37.4434;12.6293;8.6402;6.6628;7.8752;26.749","46.4141;10.1722;0.7412;2.0837;2.5466;38.0422","LQHP",0.5,NA,0.764477221807319,0.765462749115291,0
"411","Caloptilia triadicae",258,9942354,"Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Caloptilia","Caloptilia_triadicae.csv",0.697772727272727,22,2000,0.0758750868635811,0.692815964523282,0.50486487804878,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","40.6086;11.043;1.0959;16.8378;17.0096;12.9608;0.4443","27.6446;12.4806;4.4557;39.3064;1.3733;8.6719;6.0674","P",0.5,0.786530523255814,NA,NA,NA
"412","Calycomyza malvae",174,1552883,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Calycomyza","Calycomyza_malvae.csv",0.511,14,2000,-0.000480696929115178,0.510535187526338,0.50071878072763,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","7.3703;1.1968;35.8544;35.4515;11.0321;9.0949;0","2.9517;36.9973;10.9012;32.1723;2.6531;7.9369;6.3874","P",0.5,0.699534198113207,NA,NA,NA
"413","Calycomyza promissa",60,1552885,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Calycomyza","Calycomyza_promissa.csv",0.603833333333333,3,2000,0.00598777885352878,0.60337972166998,0.499784294234592,"bio1;bio12;bio14;bio5;bio6","0;29.8469;70.1531;0;0","0;50;50;0;0","P",1.5,0.5905,NA,NA,NA
"414","Calycopis cecrops",3865,1922851,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Calycopis","Calycopis_cecrops.csv",0.745972972972973,407,2000,0.316187695344596,0.674311255162319,0.571444326241135,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","19.038;12.996;18.3453;29.5189;10.435;5.4301;4.2367","10.8541;20.3536;11.5865;37.3566;6.6613;2.3333;10.8546","LQHP",1,0.759465161390441,NA,NA,NA
"415","Calycopis isobeon",2934,1922865,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Calycopis","Calycopis_isobeon.csv",0.815916666666667,66,2000,0.231176706433807,0.795433285143294,0.519732927970066,"bio1;bio12;bio13;bio14;bio5;bio6","24.1738;45.7883;9.4088;0.6963;0;19.9329","23.0755;58.206;3.1669;1.7327;0.0116;13.8073","LQHP",3,0.862847807017544,NA,NA,NA
"416","Calypte anna",1858229,2476674,"Animalia","Chordata","Aves","Apodiformes","Trochilidae","Calypte","Calypte_anna.csv",0.93950226725656,3020,3362,0.787066950125833,0.719112106912004,0.719648596916815,"bio1;bio12;bio13;bio14;bio5;bio6","8.0547;8.6644;0.6463;32.8569;1.0702;48.7075","4.6792;8.3936;32.5897;26.0918;2.4376;25.8081","LQHP",0.5,0.94000598537181,NA,NA,NA
"417","Calypte costae",119999,2476675,"Animalia","Chordata","Aves","Apodiformes","Trochilidae","Calypte","Calypte_costae.csv",0.9034696485623,939,2000,0.676303406284162,0.70775108607553,0.695312049433574,"bio1;bio12;bio13;bio14;bio5;bio6","20.9762;4.9426;1.4387;13.5581;9.5947;49.4897","10.8416;0.9855;0.6667;5.7106;2.3087;79.4868","LQHP",0.5,0.908752449646162,NA,NA,NA
"418","Campaea perlata",5883,1978751,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Campaea","Campaea_perlata.csv",0.821857630979499,439,2000,0.454620646931157,0.723073496377785,0.598448335644938,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","43.7201;7.3253;1.823;12.844;1.4471;5.4093;27.4312","39.0473;10.7287;2.479;3.7409;13.7247;2.8066;27.4728","LQHP",0.5,0.822703213879408,NA,NA,NA
"419","Camponotus americanus",757,5033542,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus_americanus.csv",0.683949367088608,79,2000,0.132735682658318,0.669739582114696,0.514101201478743,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","5.3635;3.5682;13.7629;26.7823;6.7226;8.1936;35.6069","10.2695;8.4019;0.7981;7.9754;7.0624;7.2375;58.2552","LQHP",2.5,0.748785942492013,NA,NA,NA
"420","Camponotus castaneus",2140,5034675,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus_castaneus.csv",0.752259776536313,179,2000,0.265296673290559,0.713231054268402,0.538790186125211,"bio1;bio12;bio14;bio4;bio5;bio6","36.2354;3.0737;1.3348;2.4714;29.0495;27.8352","25.6039;5.698;1.2386;0.1622;25.3197;41.9775","LQH",1.5,0.766581802721088,NA,NA,NA
"421","Camponotus conspicuus",390,5033660,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus_conspicuus.csv",0.959158415841584,4,202,0.377827521057469,0.943509615384615,0.485767326732673,"bio13;bio14;bio4;bio5;bio6","0;83.8288;0;15.518;0.6532","0;60.3004;0;37.4182;2.2814","LQH",2.5,0.989290139847761,NA,NA,NA
"422","Camponotus festinatus",442,5034159,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus_festinatus.csv",0.729270833333333,24,2000,0.13560723142989,0.722938980850373,0.506034566699124,"bio1;bio12;bio13;bio14;bio5;bio6","16.6531;26.3134;1.2503;46.2774;5.3137;4.192","7.6824;10.5772;2.6971;28.3724;16.7985;33.8724","LQHP",3,0.833394230769231,NA,NA,NA
