"datasetKey","scientificName","acceptedScientificName","kingdom","genus","species","decimalLongitude","decimalLatitude","year","month","day","eventDate","verbatimEventDate","coordinateUncertaintyInMeters"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Haliaeetus leucocephalus (Linnaeus, 1766)","Haliaeetus leucocephalus (Linnaeus, 1766)","Animalia","Haliaeetus","Haliaeetus leucocephalus",-78.90113,35.777038,2020,1,1,"2020-01-01T11:23:00","2020/01/01 11:23 AM EST",43
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Abutilon theophrasti Medik.","Abutilon theophrasti Medik.","Plantae","Abutilon","Abutilon theophrasti",-87.704172,41.973062,2020,1,1,"2020-01-01T15:56:42","Wed Jan 01 2020 15:56:42 GMT-0600 (CST)",10
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Lindera benzoin Meisn.","Lindera benzoin Meisn.","Plantae","Lindera","Lindera benzoin",-89.617308,39.872942,2020,1,1,"2020-01-01T13:06:00","2020/01/01 1:06 PM CST",8
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Zenaida macroura (Linnaeus, 1758)","Zenaida macroura (Linnaeus, 1758)","Animalia","Zenaida","Zenaida macroura",-91.231025,43.728471,2020,1,1,"2020-01-01T00:00:00","2020/01/01",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Elymus villosus Muhl. ex Willd.","Elymus villosus Muhl. ex Willd.","Plantae","Elymus","Elymus villosus",-89.618333,39.870987,2020,1,1,"2020-01-01T13:37:00","2020/01/01 1:37 PM CST",15
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Lonicera japonica Thunb.","Lonicera japonica Thunb.","Plantae","Lonicera","Lonicera japonica",-73.513838,40.686825,2020,1,1,"2020-01-01T09:19:27","Wed Jan 01 2020 09:19:27 GMT-0500 (EST)",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Cardinalis cardinalis (Linnaeus, 1758)","Cardinalis cardinalis (Linnaeus, 1758)","Animalia","Cardinalis","Cardinalis cardinalis",-84.167673,39.620033,2020,1,1,"2020-01-01T12:41:00","2020/01/01 12:41 PM EST",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Cabomba caroliniana A.Gray","Cabomba caroliniana A.Gray","Plantae","Cabomba","Cabomba caroliniana",-73.515,40.674983,2020,1,1,"2020-01-01T10:21:39","Wed Jan 01 2020 10:21:39 GMT-0500 (EST)",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Thuja occidentalis L.","Thuja occidentalis L.","Plantae","Thuja","Thuja occidentalis",-73.515388,40.682245,2020,1,1,"2020-01-01T11:01:03","Wed Jan 01 2020 11:01:03 GMT-0500 (EST)",5
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Melanerpes carolinus (Linnaeus, 1758)","Melanerpes carolinus (Linnaeus, 1758)","Animalia","Melanerpes","Melanerpes carolinus",-75.98841,39.474213,2020,1,1,"2020-01-01T15:08:00","2020/01/01 3:08 PM EST",31
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Anas platyrhynchos Linnaeus, 1758","Anas platyrhynchos Linnaeus, 1758","Animalia","Anas","Anas platyrhynchos",-73.520576,40.691982,2020,1,1,"2020-01-01T08:28:00","2020/01/01 8:28 AM EST",15
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Fraxinus nigra Marshall","Fraxinus nigra Marshall","Plantae","Fraxinus","Fraxinus nigra",-79.942071,44.042156,2020,1,2,"2020-01-02T13:52:31","Thu Jan 02 2020 13:52:31 GMT-0500 (EST)",29
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Sciurus carolinensis Gmelin, 1788","Sciurus carolinensis Gmelin, 1788","Animalia","Sciurus","Sciurus carolinensis",-73.973229,40.765704,2020,1,2,"2020-01-02T14:24:18","Thu Jan 02 2020 14:24:18 GMT-0500 (EST)",27
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Oenothera biennis L.","Oenothera biennis L.","Plantae","Oenothera","Oenothera biennis",-73.547767,40.587662,2020,1,2,"2020-01-02T11:39:08","Thu Jan 02 2020 11:39:08 GMT-0500 (EST)",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Falco peregrinus Tunstall, 1771","Falco peregrinus Tunstall, 1771","Animalia","Falco","Falco peregrinus",-79.795399,43.299096,2020,1,2,"2020-01-02T11:23:00","2020/01/02 11:23 AM EST",185
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ilex opaca Soland. ex Ait.","Ilex opaca Soland. ex Ait.","Plantae","Ilex","Ilex opaca",-74.198955,40.525342,2020,1,2,"2020-01-02T12:26:00","2020/01/02 12:26 PM EST",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Akanthomyces aculeatus Lebert","Akanthomyces aculeatus Lebert","Fungi","Akanthomyces","Akanthomyces aculeatus",-79.557408,40.706111,2020,1,1,"2020-01-01T13:06:53","Wed Jan 01 2020 13:06:53 GMT-0500 (EST)",22
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Sciurus carolinensis Gmelin, 1788","Sciurus carolinensis Gmelin, 1788","Animalia","Sciurus","Sciurus carolinensis",-78.333885,44.309166,2020,1,1,"2020-01-01T13:44:20","2020-01-01 1:44:20 PM EST",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Toxicodendron radicans (L.) Kuntze","Toxicodendron radicans (L.) Kuntze","Plantae","Toxicodendron","Toxicodendron radicans",-73.518424,40.692069,2020,1,1,"2020-01-01T08:32:55","Wed Jan 01 2020 08:32:55 GMT-0500 (EST)",24
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Anas rubripes Brewster, 1902","Anas rubripes Brewster, 1902","Animalia","Anas","Anas rubripes",-71.126457,42.436268,2020,1,1,"2020-01-01T12:56:00","2020/01/01 12:56 PM EST",39
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Packera aurea (L.) Á.Löve & D.Löve","Packera aurea (L.) Á.Löve & D.Löve","Plantae","Packera","Packera aurea",-82.617353,35.68488,2020,1,1,"2020-01-01T13:46:46","2020-01-01 1:46:46 PM EST",9
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Pleurotus ostreatus (Jacq.) P.Kumm.","Pleurotus ostreatus (Jacq.) P.Kumm.","Fungi","Pleurotus","Pleurotus ostreatus",-73.893172,40.601017,2020,1,1,"2020-01-01T14:25:41","Wed Jan 01 2020 14:25:41 GMT-0500 (EST)",10
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Xylocopa virginica (Linnaeus, 1771)","Xylocopa virginica (Linnaeus, 1771)","Animalia","Xylocopa","Xylocopa virginica",-80.539418,43.438314,2020,1,1,"2020-01-01T18:23:25","Wed Jan 01 2020 18:23:25 GMT-0500 (EST)",22
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Anas platyrhynchos platyrhynchos","Anas platyrhynchos platyrhynchos","Animalia","Anas","Anas platyrhynchos",-74.997171,39.835214,2020,1,1,"2020-01-01T17:19:00","2020/01/01 5:19 PM EST",61
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Chelidonium majus L.","Chelidonium majus L.","Plantae","Chelidonium","Chelidonium majus",-74.125917,41.004708,2020,1,1,"2020-01-01T15:30:09","Wed Jan 01 2020 15:30:09 GMT-0500 (EST)",18
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Branta canadensis (Linnaeus, 1758)","Branta canadensis (Linnaeus, 1758)","Animalia","Branta","Branta canadensis",-83.195383,40.022197,2020,1,1,"2020-01-01T08:50:22","Wed Jan 01 2020 08:50:22 GMT-0500 (EST)",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Melospiza melodia (A.Wilson, 1810)","Melospiza melodia (A.Wilson, 1810)","Animalia","Melospiza","Melospiza melodia",-83.190688,40.025028,2020,1,1,"2020-01-01T09:04:53","Wed Jan 01 2020 09:04:53 GMT-0500 (EST)",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Acer saccharinum L.","Acer saccharinum L.","Plantae","Acer","Acer saccharinum",-73.51715,40.690258,2020,1,1,"2020-01-01T11:37:11","Wed Jan 01 2020 11:37:11 GMT-0500 (EST)",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Quercus alba L.","Quercus alba L.","Plantae","Quercus","Quercus alba",-72.280199,42.520391,2020,1,2,"2020-01-02T11:26:00","2020/01/02 11:26 AM EST",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Trametes cinnabarina (Jacq.) Fr.","Pycnoporus cinnabarinus (Jacq.) P.Karst.","Fungi","Pycnoporus","Pycnoporus cinnabarinus",-79.557494,40.704839,2020,1,2,"2020-01-02T14:03:01","Thu Jan 02 2020 14:03:01 GMT-0500 (EST)",22
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Dryocopus pileatus (Linnaeus, 1758)","Dryocopus pileatus (Linnaeus, 1758)","Animalia","Dryocopus","Dryocopus pileatus",-72.280295,42.530463,2020,1,2,"2020-01-02T12:05:00","2020/01/02 12:05 PM EST",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ilex opaca Soland. ex Ait.","Ilex opaca Soland. ex Ait.","Plantae","Ilex","Ilex opaca",-74.201607,40.521444,2020,1,2,"2020-01-02T14:02:00","2020/01/02 2:02 PM EST",NA
