"datasetKey","scientificName","acceptedScientificName","kingdom","genus","species","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","eventDate","verbatimEventDate"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-71.15338,42.375933,8,2020,11,12,"2020-11-12T16:05:00","2020/11/12 4:05 PM UTC"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-81.284809,41.205283,27816,2019,7,11,"2019-07-11T20:00:02","Thu Jul 11 2019 20:00:02 GMT-0400 (EDT)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-78.228445,44.566647,NA,2019,7,19,"2019-07-19T12:47:00","2019/07/19 12:47 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-79.470967,38.792594,28210,2019,7,13,"2019-07-13T13:34:53","2019-07-13 1:34:53 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-79.980266,45.2666,27190,2019,7,28,"2019-07-28T13:23:00","2019/07/28 1:23 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-68.115691,47.286941,31,2019,7,30,"2019-07-30T05:30:00","2019/07/30 5:30 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-87.866952,48.74968,8,2019,7,21,"2019-07-21T13:49:42","Sun Jul 21 2019 13:49:42 GMT-0400 (EDT)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-79.494478,44.787603,NA,2019,7,13,"2019-07-13T13:59:00","2019/07/13 1:59 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-80.961636,43.4752,NA,2019,7,21,"2019-07-21T11:41:00","2019/07/21 11:41 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-88.140478,48.603742,24,2019,7,20,"2019-07-20T14:47:15","Sat Jul 20 2019 14:47:15 GMT-0400 (EDT)"
